year,sdg7_1_1,sdg7_1_2,sdg7_2_1,sdg7_3_1,sdg7a_1,sdg7b_1
2000,75,37.9,33.8,4.7,12.6,49
2001,76,39.15,32.8,4.34,0,49
2002,77,39.6,31.8,4.24,52.1,50
2003,77,40.1,30.8,4.04,30.2,54
2004,88,40.9,30.1,3.76,6.1,53
2005,80,40.9,31.2,3.69,12.3,53
2006,80,41.4,33.2,3.47,28.3,52
2007,82,40.9,32.3,3.34,198.5,51
2008,83,40.8,33.7,3.35,138.1,50
2009,84,40.9,34,3.22,3.9,49
2010,85,40.7,32.6,3.14,83,51
2011,87,40.6,33.7,3.06,0.8,50
2012,87,40.7,34.1,2.98,1.4,49
2013,88,40.9,33.1,2.88,54.8,49
2014,90,42,32.3,2.9,9.6,52
2015,89,42.2,30.8,2.96,23.4,55
2016,92,43.3,28.5,2.93,101.7,60
2017,93,44.1,27.7,2.9,1.5,60
2018,94,45.4,27.5,2.81,92.1,61
2019,95,46.5,26.8,2.66,2,61
2020,96,48,29.1,2.79,1.7,62
